日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/02/18,"226,941,054","10,055,408,783",42.20,45.80,42.20,45.80,+4.15,"78,130"
110/02/19,"162,504,495","7,398,458,439",45.80,46.70,44.60,46.35,+0.55,"55,523"
110/02/22,"169,554,736","8,144,248,998",47.65,50.00,46.80,47.20,+0.85,"65,422"
110/02/23,"77,349,493","3,593,625,528",46.50,47.15,45.70,46.55,-0.65,"31,928"
110/02/24,"95,267,773","4,459,382,766",46.65,48.00,45.65,45.65,-0.90,"35,584"
110/02/25,"116,907,694","5,551,453,864",47.10,48.40,46.75,48.40,+2.75,"39,344"
110/02/26,"104,344,850","4,913,514,042",46.80,47.65,46.55,47.20,-1.20,"37,564"
110/03/02,"99,120,760","4,625,617,558",48.75,48.75,45.00,45.10,-2.10,"37,623"
110/03/03,"64,468,500","2,845,510,289",45.20,45.45,43.40,44.20,-0.90,"27,345"
110/03/04,"95,024,881","4,029,252,676",43.70,43.70,41.70,41.90,-2.30,"40,987"
110/03/05,"72,705,692","2,960,779,742",40.65,41.35,40.30,40.35,-1.55,"29,409"
110/03/08,"56,236,428","2,289,714,281",41.25,41.40,40.05,40.15,-0.20,"17,826"
110/03/09,"47,489,774","1,913,775,050",40.50,40.75,39.85,40.40,+0.25,"17,862"
110/03/10,"56,329,982","2,341,736,278",40.85,42.15,40.75,41.95,+1.55,"20,712"
110/03/11,"62,831,444","2,701,194,164",42.50,43.45,42.35,43.45,+1.50,"23,580"
110/03/12,"94,282,855","4,193,075,190",44.50,45.10,43.95,44.60,+1.15,"38,611"
110/03/15,"35,632,143","1,568,775,173",44.60,44.60,43.75,44.00,-0.60,"14,741"
110/03/16,"44,309,355","1,940,804,512",44.40,44.45,43.35,43.60,-0.40,"18,543"
110/03/17,"27,229,417","1,188,034,127",43.65,43.95,43.20,43.90,+0.30,"11,070"
110/03/18,"28,244,618","1,251,246,751",44.40,44.60,44.00,44.35,+0.45,"11,824"
110/03/19,"74,144,331","3,316,473,883",44.40,45.10,44.05,44.75,+0.40,"30,798"
